"Razao Social (Registro ANS)";"Cobertura";"Porte";"Classificacao no Mes";"Classificacao no Mes Anterior";"Dez/20";"Nov/20";"Out/20";"Set/20";"Ago/20";"Jul/20";"Jun/20";"Mai/20";"Abr/20";"Mar/20";"Fev/20";"Jan/20";"Competencia";"Data de atualizacao"
"SEPACO SAÚDE LTDA (407224)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"  14.01";"  13.95";"  13.91";"202007";"15/01/2021 07:40:34"
"UNIMED VALE DAS ANTAS. RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (335541)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"   0.60";"   0.60";"   0.60";"202007";"15/01/2021 07:40:34"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU (406945)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"UNIMED DE PINDAMONHANGABA - COOPERATIVA TRABALHO MEDICO (342343)";"Médico Hospitalar";"Pequeno";"204";"98";"0.00";"   2.45";"   1.62";"   1.61";"0.00";"0.00";"0.00";"0.00";"   0.80";"   1.62";"   1.65";"   0.84";"202007";"15/01/2021 07:40:34"
"ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM (420093)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"  16.29";"  16.29";"  16.29";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"UNIMED NORTE PAULISTA - COOPERATIVA DE TRABALHO MÉDICO (323055)";"Médico Hospitalar";"Pequeno";"204";"119";"0.00";"   1.65";"   0.55";"   0.55";"0.00";"0.00";"0.00";"   0.55";"   0.56";"   1.11";"   0.56";"   1.67";"202007";"15/01/2021 07:40:34"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE (409413)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"ASSOCIAÇAO UNISAUDE MARAU (333867)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"   2.25";"   2.25";"   2.24";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MÉDICO (348244)";"Médico Hospitalar";"Pequeno";"204";"175";"0.00";"   0.57";"   0.57";"0.00";"0.00";"0.00";"0.00";"   2.82";"   2.81";"   3.36";"   0.56";"   1.13";"202007";"15/01/2021 07:40:34"
"PRONTO SOCORRO CONDE DE MOREIRA LIMA (417475)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"   9.83";"   9.97";"  10.15";"202007";"15/01/2021 07:40:34"
"ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ (418617)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"HOSPITAL DE PRONTOCLINICA LTDA. (341941)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"COMPANHIA DOCAS DO ESPIRITO SANTO - CODESA (416509)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"FUNDAÇÃO DE ASSISTÊNCIA À SAÚDE DA ASSOCIAÇÃO DO MINISTÉRIO PÚBLICO DO RIO GRANDE DO SUL (420701)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA (419150)";"Médico Hospitalar";"Pequeno";"204";"166";"0.00";"   0.70";"   2.09";"   2.07";"   1.37";"0.00";"0.00";"   0.68";"   2.03";"   2.03";"   1.35";"   0.67";"202007";"15/01/2021 07:40:34"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE (410128)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"   1.42";"   1.42";"   1.42";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS) (410608)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15) (304131)";"Médico Hospitalar";"Pequeno";"204";"59";"0.00";"   5.03";"   5.08";"   5.14";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"UNIMED REGIONAL DE FLORIANO - COOPERATIVA DE TRABALHO MÉDICO (316458)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"   2.81";"   2.80";"   2.79";"   2.79";"202007";"15/01/2021 07:40:34"
"CENTRO CLINICO NH LTDA. (304212)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"UNIMED NORTE DO PARANÁ COOPERATIVA REGIONAL DE TRABALHO MÉDICO (358282)";"Médico Hospitalar";"Pequeno";"204";"125";"0.00";"   1.40";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"   1.44";"   1.44";"202007";"15/01/2021 07:40:34"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS (407569)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA (409634)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"MÚTUA DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO (418650)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"   1.96";"   1.95";"   1.95";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"G & M ASSESSORIA MEDICA EMPRESARIAL LTDA - EPP (409286)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"COMSEDER - COOPERATIVA DE ASSISTÊNCIA MÉDICA DOS SERVIDORES DA SUPLAN E DO DER LTDA (390259)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"  12.17";"  12.63";"  13.26";"202007";"15/01/2021 07:40:34"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA E MATERNIDADE DONA ZILDA SALVAGNI (321320)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"   1.26";"   1.27";"   1.27";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"UNIMED STA RITA. STA ROSA E SÃO SIMÃO COOP. TRAB. MÉDICO (402834)";"Médico Hospitalar";"Pequeno";"204";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"   2.34";"   2.34";"202007";"15/01/2021 07:40:34"
"UNIMED ALTO VALE - COOPERATIVA DE TRABALHO MÉDICO (372561)";"Médico Hospitalar";"Pequeno";"140";"164";"   1.52";"   0.75";"0.00";"0.00";"   1.51";"   1.52";"   1.53";"   0.77";"   2.31";"   3.09";"   2.33";"   1.56";"202007";"15/01/2021 07:40:34"
"UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO (328308)";"Médico Hospitalar";"Pequeno";"141";"163";"   1.51";"   0.75";"   0.75";"   1.51";"   1.51";"   1.51";"0.00";"0.00";"   2.95";"   3.89";"   4.12";"   2.62";"202007";"15/01/2021 07:40:34"
"UNIMED DE FERNANDOPOLIS - COOPERATIVA DE TRABALHO MÉDICO (326089)";"Médico Hospitalar";"Pequeno";"142";"182";"   1.48";"0.00";"0.00";"0.00";"0.00";"   1.48";"   1.48";"   1.48";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"UNIMED CAÇADOR COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO DO CONTESTADO (346951)";"Médico Hospitalar";"Pequeno";"143";"182";"   1.48";"0.00";"0.00";"0.00";"   0.74";"   1.48";"   1.48";"   0.74";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DA AMAZÔNIA - CASF (358754)";"Médico Hospitalar";"Pequeno";"144";"122";"   1.46";"   1.49";"0.00";"   1.48";"   1.47";"   1.46";"0.00";"0.00";"0.00";"   1.42";"   4.23";"   6.97";"202007";"15/01/2021 07:40:34"
"UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO (309524)";"Médico Hospitalar";"Pequeno";"145";"182";"   1.40";"0.00";"0.00";"0.00";"0.00";"   1.40";"   1.39";"   1.39";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"UNIMED CENTRO SUL FLUMINENSE COOPERATIVA DE TRABALHO MÉDICO (320897)";"Médico Hospitalar";"Pequeno";"146";"167";"   1.39";"   0.69";"   3.45";"   4.17";"   3.48";"   1.39";"   0.69";"   0.69";"0.00";"   1.37";"   1.37";"   2.74";"202007";"15/01/2021 07:40:34"
"UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO (304123)";"Médico Hospitalar";"Pequeno";"147";"182";"   1.38";"0.00";"0.00";"   1.40";"   1.39";"   1.38";"   1.37";"   1.36";"   1.35";"   0.67";"   0.67";"   0.66";"202007";"15/01/2021 07:40:34"
"ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS (416690)";"Médico Hospitalar";"Pequeno";"148";"182";"   1.35";"0.00";"   1.36";"   2.71";"   2.71";"   1.35";"0.00";"   1.35";"   1.35";"   1.36";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA. (301060)";"Médico Hospitalar";"Pequeno";"149";"108";"   1.34";"   2.03";"   2.02";"   2.00";"   1.34";"   1.34";"   0.68";"   0.69";"   0.71";"   0.73";"0.00";"   0.74";"202007";"15/01/2021 07:40:34"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE (335789)";"Médico Hospitalar";"Pequeno";"150";"182";"   1.31";"0.00";"0.00";"   1.31";"   1.31";"   1.31";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL (378216)";"Médico Hospitalar";"Pequeno";"151";"45";"   1.31";"   7.91";"   5.26";"   5.25";"   2.62";"   1.31";"0.00";"   1.30";"   1.29";"   1.29";"   1.28";"   2.55";"202007";"15/01/2021 07:40:34"
"ASSOCIAÇÃO PLANO DE SAÚDE SANTA CASA DE VALINHOS (419958)";"Médico Hospitalar";"Pequeno";"152";"94";"   1.30";"   2.60";"   1.30";"0.00";"   1.30";"   1.30";"   1.29";"0.00";"0.00";"   3.79";"   3.79";"   3.78";"202007";"15/01/2021 07:40:34"
"ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO (418731)";"Médico Hospitalar";"Pequeno";"153";"182";"   1.28";"0.00";"0.00";"0.00";"0.00";"   1.28";"   1.29";"   2.60";"   1.30";"   1.30";"   1.30";"   1.30";"202007";"15/01/2021 07:40:34"
"VIVACOM PLANOS DE SAÚDE (361461)";"Médico Hospitalar";"Pequeno";"154";"113";"   1.26";"   1.91";"   3.17";"   3.16";"   2.53";"   1.26";"   0.63";"   0.63";"   1.87";"   2.48";"   3.10";"   2.47";"202007";"15/01/2021 07:40:34"
"UNIMED MACHADO COOPERATIVA DE TRABALHO MEDICO (354678)";"Médico Hospitalar";"Pequeno";"155";"132";"   1.23";"   1.22";"   1.23";"   1.23";"0.00";"   1.23";"   1.23";"   2.46";"   1.23";"   1.22";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA (304531)";"Médico Hospitalar";"Pequeno";"156";"182";"   1.22";"0.00";"   0.64";"   1.26";"   1.24";"   1.22";"   0.60";"   1.19";"   0.59";"   2.32";"   1.72";"   2.27";"202007";"15/01/2021 07:40:34"
"UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO (314242)";"Médico Hospitalar";"Pequeno";"157";"133";"   1.21";"   1.20";"0.00";"0.00";"0.00";"   1.21";"   1.21";"   1.20";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"UNIMED VIÇOSA - COOPERATIVA DE TRABALHO MÉDICO (314587)";"Médico Hospitalar";"Pequeno";"158";"100";"   1.20";"   2.40";"   3.61";"   4.80";"   3.60";"   1.20";"0.00";"   1.20";"   1.20";"   2.41";"   1.20";"   1.20";"202007";"15/01/2021 07:40:34"
"CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS (359122)";"Médico Hospitalar";"Pequeno";"159";"182";"   1.19";"0.00";"0.00";"   1.19";"   1.19";"   1.19";"0.00";"0.00";"0.00";"0.00";"0.00";"   1.17";"202007";"15/01/2021 07:40:34"
"UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA. (321087)";"Médico Hospitalar";"Pequeno";"160";"80";"   1.17";"   3.57";"   3.57";"   4.75";"   1.18";"   1.17";"   2.33";"   4.61";"   4.56";"   2.27";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"UNIMED ITAÚNA COOPERATIVA DE TRABALHO MÉDICO LTDA. (356581)";"Médico Hospitalar";"Pequeno";"161";"137";"   1.14";"   1.09";"   1.11";"   1.69";"   1.13";"   1.14";"   0.56";"0.00";"0.00";"0.00";"   0.56";"   0.56";"202007";"15/01/2021 07:40:34"
"UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO (336858)";"Médico Hospitalar";"Pequeno";"162";"177";"   1.09";"   0.54";"0.00";"0.00";"   0.55";"   1.09";"   1.10";"   2.74";"   2.74";"   4.40";"   2.20";"   1.65";"202007";"15/01/2021 07:40:34"
"COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB (334189)";"Médico Hospitalar";"Pequeno";"163";"182";"   1.08";"0.00";"   1.07";"   2.15";"   2.15";"   1.08";"0.00";"0.00";"0.00";"0.00";"0.00";"   0.99";"202007";"15/01/2021 07:40:34"
"HOSPITAL CÉSAR LEITE (314706)";"Médico Hospitalar";"Pequeno";"164";"182";"   1.07";"0.00";"0.00";"0.00";"   1.07";"   1.07";"   1.08";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"UNIMED CARATINGA - COOPERATIVA DE TRABALHO MÉDICO LTDA (347736)";"Médico Hospitalar";"Pequeno";"165";"147";"   1.07";"   1.04";"   2.09";"   2.10";"   2.12";"   1.07";"0.00";"0.00";"0.00";"   1.10";"   1.11";"   1.11";"202007";"15/01/2021 07:40:34"
"UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO (301744)";"Médico Hospitalar";"Pequeno";"166";"178";"   1.05";"   0.53";"   0.53";"   1.06";"   0.53";"   1.05";"   0.53";"   1.05";"   0.53";"   0.53";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"OESTE SAÚDE ASSISTÊNCIA A SAÚDE SUPLEMENTAR S.A (416738)";"Médico Hospitalar";"Pequeno";"167";"182";"   1.04";"0.00";"   0.50";"   1.01";"   1.54";"   1.04";"   1.58";"   1.06";"   1.07";"   0.54";"   0.53";"   1.59";"202007";"15/01/2021 07:40:34"
"UNIMED DE UBA COOPERATIVA DE TRABALHO MEDICO (362573)";"Médico Hospitalar";"Pequeno";"168";"110";"   1.03";"   1.99";"   2.00";"   3.03";"   2.04";"   1.03";"0.00";"0.00";"   1.02";"   1.02";"   1.02";"   1.02";"202007";"15/01/2021 07:40:34"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SISTEMA FINANCEIRO BANESTES (343331)";"Médico Hospitalar";"Pequeno";"169";"150";"   1.03";"   1.03";"   1.03";"   1.03";"   1.03";"   1.03";"   1.02";"0.00";"   2.05";"   2.05";"   2.04";"0.00";"202007";"15/01/2021 07:40:34"
"UNIMED SUDOESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO (327468)";"Médico Hospitalar";"Pequeno";"170";"182";"   1.01";"0.00";"0.00";"0.00";"0.00";"   1.01";"   1.01";"   1.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"SOCIEDADE BENEFICENTE DEZOITO DE JULHO (413721)";"Médico Hospitalar";"Pequeno";"171";"182";"   1.00";"0.00";"   0.97";"   0.99";"   2.00";"   1.00";"   1.01";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"UNIMED DE TUPA COOPERATIVA DE TRABALHO MÉDICO (365530)";"Médico Hospitalar";"Pequeno";"172";"182";"   0.99";"0.00";"0.00";"0.00";"0.00";"   0.99";"   0.99";"   0.98";"0.00";"   0.99";"   0.99";"   0.99";"202007";"15/01/2021 07:40:34"
"UNIMED DE CAPIVARI -COOPERATIVA DE TRABALHO MÉDICO (366340)";"Médico Hospitalar";"Pequeno";"173";"157";"   0.98";"   0.95";"   1.91";"   2.88";"   1.93";"   0.98";"0.00";"   1.01";"   1.00";"   1.00";"   1.01";"   2.01";"202007";"15/01/2021 07:40:34"
"SISTEMA TOTAL DE SAÚDE LTDA. (402001)";"Médico Hospitalar";"Pequeno";"174";"87";"   0.98";"   2.96";"   2.98";"   3.99";"   0.99";"   0.98";"   0.97";"   0.95";"   0.94";"   0.94";"   0.93";"   0.92";"202007";"15/01/2021 07:40:34"
"FUNDAÇÃO DE ASSISTÊNCIA E PREVIDÊNCIA SOCIAL DO BNDES (339636)";"Médico Hospitalar";"Pequeno";"175";"115";"   0.92";"   1.84";"0.00";"0.00";"   0.92";"   0.92";"   2.76";"   2.76";"   3.69";"   1.84";"   0.92";"   0.92";"202007";"15/01/2021 07:40:34"
"PLAMER PLANO MEDICO RESENDE LTDA (324299)";"Médico Hospitalar";"Pequeno";"176";"182";"   0.90";"0.00";"   0.93";"   1.85";"   1.84";"   0.90";"0.00";"0.00";"0.00";"   0.85";"   0.83";"   0.82";"202007";"15/01/2021 07:40:34"
"UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO (340251)";"Médico Hospitalar";"Pequeno";"177";"158";"   0.89";"   0.88";"   0.89";"   0.89";"   0.89";"   0.89";"   1.78";"   0.89";"   0.90";"0.00";"   1.80";"   1.81";"202007";"15/01/2021 07:40:34"
"UNIMED DE CIANORTE - COOPERATIVA DE TRABALHO MEDICO  (354627)";"Médico Hospitalar";"Pequeno";"178";"182";"   0.83";"0.00";"0.00";"   0.83";"   0.83";"   0.83";"0.00";"0.00";"   0.83";"   0.83";"   1.66";"   0.83";"202007";"15/01/2021 07:40:34"
"UNIMED DE IBITINGA COOPERATIVA DE TRABALHO MÉDICO (365238)";"Médico Hospitalar";"Pequeno";"179";"182";"   0.83";"0.00";"0.00";"   0.82";"   0.82";"   0.83";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"IRMANDADE DE MISERICÓRDIA DO HOSPITAL DA SANTA CASA DE MONTE ALTO (333808)";"Médico Hospitalar";"Pequeno";"180";"182";"   0.81";"0.00";"0.00";"   0.82";"   0.82";"   0.81";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC (327557)";"Médico Hospitalar";"Pequeno";"181";"162";"   0.78";"   0.78";"   0.78";"   1.56";"   0.78";"   0.78";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA (319180)";"Médico Hospitalar";"Pequeno";"182";"165";"   0.75";"   0.70";"   1.42";"   2.16";"   1.47";"   0.75";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO (323942)";"Médico Hospitalar";"Pequeno";"183";"182";"   0.74";"0.00";"0.00";"0.00";"0.00";"   0.74";"   0.74";"   0.74";"   0.73";"   0.73";"   0.73";"0.00";"202007";"15/01/2021 07:40:34"
"UNIAO DE CLINICAS RIO GRANDE LTDA (361852)";"Médico Hospitalar";"Pequeno";"184";"182";"   0.74";"0.00";"0.00";"   0.75";"   0.75";"   0.74";"0.00";"0.00";"0.00";"0.00";"0.00";"   0.70";"202007";"15/01/2021 07:40:34"
"SANTA CASA DE MISERICÓRDIA DE VOTUPORANGA (330116)";"Médico Hospitalar";"Pequeno";"185";"182";"   0.70";"0.00";"0.00";"0.00";"   0.70";"   0.70";"   0.70";"   0.69";"   0.68";"   2.72";"   2.03";"   2.70";"202007";"15/01/2021 07:40:34"
"FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG (315567)";"Médico Hospitalar";"Pequeno";"186";"182";"   0.69";"0.00";"   0.69";"   0.69";"   1.38";"   0.69";"   0.69";"0.00";"0.00";"0.00";"   0.68";"   0.68";"202007";"15/01/2021 07:40:34"
"UNIMED DE LINS - COOPERATIVA DE TRABALHOS MÉDICOS (354279)";"Médico Hospitalar";"Pequeno";"187";"169";"   0.68";"   0.67";"   0.67";"   0.68";"0.00";"   0.68";"   0.68";"   0.68";"0.00";"   1.34";"   1.34";"   1.33";"202007";"15/01/2021 07:40:34"
"AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL (368920)";"Médico Hospitalar";"Pequeno";"188";"182";"   0.64";"0.00";"0.00";"0.00";"0.00";"   0.64";"   0.64";"   0.64";"0.00";"0.00";"0.00";"   0.64";"202007";"15/01/2021 07:40:34"
"UNIMED ARAGUARI COOPERATIVA DE TRABALHO MÉDICO  (354325)";"Médico Hospitalar";"Pequeno";"189";"171";"   0.64";"   0.64";"   0.64";"   1.28";"   0.64";"   0.64";"0.00";"   1.28";"   1.28";"   1.29";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA (303178)";"Médico Hospitalar";"Pequeno";"190";"70";"   0.62";"   4.37";"   3.75";"   1.25";"   0.62";"   0.62";"   1.24";"   1.23";"   1.23";"   0.61";"   0.61";"   1.23";"202007";"15/01/2021 07:40:34"
"UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO (318035)";"Médico Hospitalar";"Pequeno";"191";"173";"   0.62";"   0.61";"   0.61";"   0.61";"0.00";"   0.62";"   1.24";"   1.86";"   1.23";"   0.61";"0.00";"   1.22";"202007";"15/01/2021 07:40:34"
"MAPFRE SAÚDE LTDA (418951)";"Médico Hospitalar";"Pequeno";"192";"172";"   0.62";"   0.63";"   0.63";"   0.62";"0.00";"   0.62";"   1.23";"   1.22";"   0.61";"0.00";"0.00";"   0.49";"202007";"15/01/2021 07:40:34"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO (363855)";"Médico Hospitalar";"Pequeno";"193";"174";"   0.59";"   0.59";"   0.59";"   0.59";"   0.59";"   0.59";"   0.59";"0.00";"0.00";"0.00";"   0.59";"   0.59";"202007";"15/01/2021 07:40:34"
"OPERADORA DE PLANOS PRIVADOS DE ASSISTENCIA A SAUDE CONSAUDE S/S LTDA (350729)";"Médico Hospitalar";"Pequeno";"194";"182";"   0.58";"0.00";"   0.57";"   1.16";"   1.16";"   0.58";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA (319422)";"Médico Hospitalar";"Pequeno";"195";"176";"   0.58";"   0.57";"0.00";"0.00";"   0.58";"   0.58";"   1.15";"   0.57";"   1.70";"   1.14";"   1.71";"   1.14";"202007";"15/01/2021 07:40:34"
"ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA (418803)";"Médico Hospitalar";"Pequeno";"196";"182";"   0.57";"0.00";"0.00";"0.00";"0.00";"   0.57";"   0.57";"   2.31";"   2.33";"   2.94";"   1.18";"   0.59";"202007";"15/01/2021 07:40:34"
"UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO (324566)";"Médico Hospitalar";"Pequeno";"197";"138";"   0.55";"   1.09";"   1.09";"0.00";"   0.55";"   0.55";"   0.55";"0.00";"   0.55";"   0.55";"   0.56";"0.00";"202007";"15/01/2021 07:40:34"
"UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA. (304395)";"Médico Hospitalar";"Pequeno";"198";"144";"   0.53";"   1.05";"   1.58";"   1.59";"   1.59";"   0.53";"   0.53";"   0.53";"   0.53";"   0.53";"   1.08";"   2.18";"202007";"15/01/2021 07:40:34"
"COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO (318213)";"Médico Hospitalar";"Pequeno";"199";"182";"   0.52";"0.00";"   0.52";"   1.04";"   1.05";"   0.52";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202007";"15/01/2021 07:40:34"
"CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE (320820)";"Médico Hospitalar";"Pequeno";"200";"182";"   0.52";"0.00";"0.00";"0.00";"   0.52";"   0.52";"   0.52";"0.00";"0.00";"   0.51";"   0.51";"   0.51";"202007";"15/01/2021 07:40:34"
